player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
729769,Tyler Adams,6713,USA,2,midfielder,32.838,3.0,3.0,38.838,90.0,4,1,11.0,49.838
688295,Christian Pulisic,6713,USA,3,forward,32.9,5.0,1.5,39.4,46.0,3,0,9.0,48.4
1338696,Alex Freeman,6713,USA,1,defender,37.64,1.8,3.0,42.44,90.0,4,1,5.0,47.44
982677,Folarin Balogun,6713,USA,3,forward,29.34166666666667,4.1,2.4,35.84166666666667,72.0,3,0,9.0,44.84166666666667
1126058,Malik Tillman,6713,USA,2,midfielder,31.64,-1.4000000000000004,2.7333333333333334,32.973333333333336,82.0,3,1,9.0,41.973333333333336
662428,Antonee Robinson,6713,USA,1,defender,24.279999999999998,3.0,3.0,30.279999999999998,90.0,4,1,5.0,35.28
198444,Tim Ream,6713,USA,1,defender,23.82,3.0,3.0,29.82,90.0,4,1,5.0,34.82
950829,Chris Richards,6713,USA,1,defender,23.24,3.0,3.0,29.24,90.0,4,1,5.0,34.239999999999995
848266,Weston McKennie,6713,USA,2,midfielder,17.949999999999996,1.9,3.0,22.849999999999994,90.0,4,1,11.0,33.849999999999994
1073742,Julio Enciso,6724,Paraguay,3,forward,21.608333333333334,5.0,3.0,29.608333333333334,90.0,1,4,3.0,32.608333333333334
442277,Miguel Almirón,6724,Paraguay,3,forward,18.675,5.0,2.6333333333333333,26.308333333333334,79.0,1,3,3.0,29.308333333333334
892816,Sergiño Dest,6713,USA,1,defender,11.129999999999999,1.8,2.4,15.33,72.0,3,0,10.0,25.33
1133495,Juan Cáceres,6724,Paraguay,1,defender,24.249999999999996,3.0,2.6333333333333333,29.88333333333333,79.0,1,3,-5.0,24.88333333333333
751998,Omar Alderete,6724,Paraguay,1,defender,27.090000000000003,3.0,3.0,33.09,90.0,1,4,-10.0,23.090000000000003
1354561,Diego Gómez,6724,Paraguay,2,midfielder,16.387999999999998,3.0,2.6666666666666665,22.054666666666666,79.0,1,3,1.0,23.054666666666666
1059490,Mauricio,6724,Paraguay,2,midfielder,15.296,3.0,1.5,19.796,44.0,1,1,2.5,22.296
1071179,Giovanni Reyna,6713,USA,2,midfielder,12.972000000000001,3.0,0.26666666666666666,16.238666666666667,8.0,1,0,4.5,20.738666666666667
529625,Andrés Cubas,6724,Paraguay,2,midfielder,14.940000000000001,1.9,3.0,19.84,90.0,1,4,-1.0,18.84
274392,Gustavo Gómez,6724,Paraguay,1,defender,19.41,3.0,3.0,25.41,90.0,1,4,-10.0,15.41
1320444,Álex Arce,6724,Paraguay,3,forward,7.766666666666667,5.0,0.9333333333333333,13.7,28.0,1,1,0.5,14.2
1136096,Sebastian Berhalter,6713,USA,2,midfielder,5.949999999999999,3.0,1.5,10.45,44.0,1,1,2.5,12.95
1036401,Ricardo Pepi,6713,USA,3,forward,5.55,5.0,0.6,11.15,18.0,1,1,0.5,11.65
474448,Antonio Sanabria,6724,Paraguay,3,forward,6.283333333333332,2.3,2.0666666666666664,10.649999999999999,62.0,0,3,0.0,10.649999999999999
497352,Gustavo Velázquez,6724,Paraguay,1,defender,6.63,1.8,0.36666666666666664,8.796666666666667,11.0,0,1,0.0,8.796666666666667
1252913,Damián Bobadilla,6724,Paraguay,2,midfielder,2.976000000000001,3.0,1.5,7.476000000000001,46.0,0,3,-1.0,6.476000000000001
889536,Timothy Weah,6713,USA,2,midfielder,0.04199999999999959,3.0,0.6,3.642,18.0,1,1,2.5,6.1419999999999995
466214,Júnior Alonso,6724,Paraguay,1,defender,9.229999999999999,3.0,3.0,15.229999999999999,90.0,1,4,-10.0,5.229999999999999
600850,Alejandro Romero,6724,Paraguay,2,midfielder,0.3440000000000001,3.0,0.3333333333333333,3.677333333333334,11.0,0,1,0.5,4.177333333333333
1132960,Ramón Sosa,6724,Paraguay,3,forward,0.5,5.0,0.36666666666666664,5.866666666666666,11.0,0,1,-2.5,3.3666666666666663
307438,Fabián Balbuena,6724,Paraguay,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
688271,Auston Trusty,6713,USA,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
825623,Miles Robinson,6713,USA,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
860890,José Canale,6724,Paraguay,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
924485,Mark McKenzie,6713,USA,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
959696,Joseph Scally,6713,USA,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1736527,Alexandro Maidana,6724,Paraguay,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
621946,Cristian Roldan,6713,USA,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
952322,Brenden Aaronson,6713,USA,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1075065,Braian Ojeda,6724,Paraguay,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1241957,Matías Galarza,6724,Paraguay,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1348329,Max Arfsten,6713,USA,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
425711,Gabriel Ávalos,6724,Paraguay,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
621882,Alex Zendejas,6713,USA,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
848268,Haji Wright,6713,USA,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1033279,Isidro Pitta,6724,Paraguay,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1347933,Gustavo Caballero,6724,Paraguay,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
